iter	Logloss
0	0.6697576293
1	0.6502752191
2	0.6319255012
3	0.6149796694
4	0.6006348708
5	0.5869320669
6	0.5752699395
7	0.5638431804
8	0.5540146748
9	0.5444279429
10	0.5351228705
11	0.5267078557
12	0.5195206668
13	0.512548383
14	0.5060863189
15	0.5000598613
16	0.4946329231
17	0.4897083791
18	0.4851743306
19	0.4804332173
20	0.4764805455
21	0.4724322262
22	0.4690213375
23	0.4659274602
24	0.4629011898
25	0.4601528136
26	0.4574537165
27	0.45497634
28	0.4525125073
29	0.4505045991
30	0.4484941266
31	0.4464694814
32	0.4444687005
33	0.4424062426
34	0.4406198655
35	0.4388464832
36	0.4376244062
37	0.4365011221
38	0.4348759806
39	0.4335744378
40	0.4324626841
41	0.4313808697
42	0.4303890994
43	0.4292308285
44	0.4280810013
45	0.4271448435
46	0.4262999928
47	0.4253875354
48	0.4244375916
49	0.4235149387
50	0.4225740692
51	0.4217463914
52	0.4210657454
53	0.4203864325
54	0.4195716447
55	0.4189132667
56	0.4183815315
57	0.4178985845
58	0.4172427463
59	0.4169331354
60	0.4162384081
61	0.4156791224
62	0.4152894381
63	0.4148091559
64	0.4143288189
65	0.4139475835
66	0.4134546945
67	0.4130282617
68	0.412727904
69	0.4123263959
70	0.4120366388
71	0.4116921442
72	0.4112697351
73	0.4109456442
74	0.4105871347
75	0.4102709647
76	0.41005826
77	0.4097696132
78	0.4094930332
79	0.4091228457
80	0.4089637589
81	0.4085715675
82	0.4083633935
83	0.4080950842
84	0.4078439555
85	0.407605123
86	0.4073735329
87	0.4071805324
88	0.4069792127
89	0.4067808643
90	0.4065387125
91	0.4063131044
92	0.4061616372
93	0.4059327108
94	0.4057152836
95	0.4055005981
96	0.4052938297
97	0.4050943644
98	0.4049084578
99	0.4047171379
