iter	Passed	Remaining
0	0	61
1	1	60
2	1	57
3	2	56
4	2	52
5	3	50
6	3	47
7	4	46
8	4	45
9	4	43
10	5	47
11	6	46
12	7	49
13	7	48
14	8	46
15	8	46
16	9	44
17	9	44
18	10	42
19	10	41
20	10	41
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	36
27	14	36
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	28
41	20	28
42	21	27
43	21	27
44	22	27
45	23	27
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
